a52dec 0.7.4-9
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.4-1
lua52-socket 20160311-1
lvm2 2.02.177-5
lxappearance 0.6.3-1
lxappearance-obconf 0.2.3-1
lxmenu-data 0.1.5-1
lxrandr 0.3.1-1
lz4 1:1.8.1.2-1
lzo 2.10-1
lzop 1.04-1
m4 1.4.18-1
macchanger 1.7.0-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.2-1
man-pages 4.15-1
mathjax 2.7.4-1
mc 4.8.20-3
mdadm 4.0-1
meld 3.19.0-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
menulibre 2.2.0-1
mesa 18.0.0-2
mesa-vdpau 18.0.0-2
meson 0.45.1-1
minizip 1:1.2.11-2
mintstick-git r177.860ea2c-2
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.28.3-1
mkinitcpio-nfs-utils 0.3-5
mkinitcpio-openswap 0.1.0-3
mlocate 0.26-6
mobile-broadband-provider-info 20170310-1
modemmanager 1.8rc2+1+g7e949283-1
moka-icon-theme 5.3.6-1
mousepad 0.4.0-3
mozilla-common 1.4-4
mpfr 4.0.1-1
mpg123 1.25.10-1
mtdev 1.1.5-1
mtools 4.0.18-4
mtpfs 1.1-2
mtr 0.92-1
mugshot 0.3.2-4
mupdf 1.12.0-2
nano 2.9.5-1
nbd 3.17-3
ncurses 6.1-3
ndisc6 1.0.3-2
neofetch 3.3.0-2
neon 0.30.2-3
nerd-fonts-complete 1.2.0-3
net-snmp 5.7.3-7
net-tools 1.60.20180212git-1
netctl 1.16-1
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.6-3
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.2-1
networkmanager-pptp 1.2.6-1
networkmanager-vpnc 1.2.4-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nilfs-utils 2.2.7-1
ninja 1.8.2-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
nmap 7.70-1
node-gyp 3.6.2-1
nodejs 9.11.1-1
nomacs 3.8.0-6
noto-fonts 20180322-1
npm 5.8.0-1
npth 1.5-1
nspr 4.19-1
nss 3.36-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntop 5.0.1-11
ntp 4.2.8.p11-1
numix-circle-arc-icons-git 9.3-1
numix-circle-icon-theme-git 0.r19.e4a9320-1
numix-icon-theme-git 0.r1950.5ec9ef918-1
numlockx 1.2-3
obconf 2.0.4-4
obkey-git 1.0.47.gcf99076-1
oblogout 0.2-19
obmenu-generator 0.84-1
obmenu3 1.04-1
obs-studio 21.1.1-1
oh-my-zsh-git r4320.accdcb2f-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
oniguruma 6.8.1-1
openal 1.18.2-1
openbox 3.6.1-3
openbox-arc-git 20170913.r18.d6bfa0e-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
opencv 3.4.1-2
openexr 2.2.1-1
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.n-1
openvpn 2.4.5-1
optipng 0.7.7-1
opus 1.2.1-1
orage 4.12.1-4
orc 0.4.28-1
os-prober 1.76-1
osm-gps-map 1.1.0-3
p11-kit 0.23.10-1
p7zip 16.02-4
package-query 1.9-2
packer 20160325-1
pacli 0.9.1-1
pacman 5.0.2-2
pacman-mirrorlist 20180224-1
pam 1.3.0-1
pamac-aur 6.2.7-2
pambase 20171006-1
pango 1.42.0-1
pango-perl 1.227-8
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
paper-icon-theme 1.4.0-1
papirus-icon-theme-git 1:r1796.c56a80b76-1
parallel 20180322-1
parole 1.0.0-1
partclone 0.2.89-2
parted 3.2-6
partimage 0.6.9-12
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pbzip2 1.1.13-1
pciutils 3.5.6-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.41-1
pcre2 10.31-1
pcsclite 1.8.23-2
peek 1.3.1-1
perl 5.26.1-2
perl-clone 0.39-4
perl-data-dump 1.23-3
perl-dbi 1.641-1
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-file-listing 6.04-4
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-5
perl-http-date 6.02-4
perl-http-message 6.16-1
perl-http-negotiate 6.01-4
perl-io-html 1.001-3
perl-io-socket-ssl 2.055-1
perl-json 2.97001-1
